cell_type,condition,n_cells,fraction
AC,Control,13751,0.10243822493053331
AC,LD,342,0.030497592295345103
AC,NMDA,1424,0.09232365145228216
BC,Control,62885,0.46846249543717455
BC,LD,545,0.04859996433030141
BC,NMDA,848,0.054979253112033194
Cones,Control,10127,0.07544119728539822
Cones,LD,372,0.03317281968967362
Cones,NMDA,424,0.027489626556016597
Endothelial,Control,759,0.005654178803161572
Endothelial,NMDA,3,0.00019450207468879667
HC,Control,17989,0.13400925229258698
HC,LD,692,0.06170857856251115
HC,NMDA,1070,0.06937240663900415
MG,Control,8707,0.06486289175115653
MG,LD,4835,0.4311574817192795
MG,NMDA,4611,0.2989496887966805
MGPC,Control,1515,0.011286009073504324
MGPC,LD,1743,0.15543071161048688
MGPC,NMDA,2273,0.14736773858921162
Melanocyte,Control,360,0.0026818239382584534
Melanocyte,NMDA,3,0.00019450207468879667
Microglia_ImmuneCells,Control,2335,0.017394608043981914
Microglia_ImmuneCells,LD,16,0.0014267879436418763
Microglia_ImmuneCells,NMDA,34,0.002204356846473029
Oligodenrocyte,Control,687,0.005117814015509882
Oligodenrocyte,LD,2,0.00017834849295523454
Oligodenrocyte,NMDA,11,0.0007131742738589211
PR precursors,Control,1175,0.008753175354038007
PR precursors,LD,1619,0.14437310504726236
PR precursors,NMDA,2140,0.1387448132780083
Perycites,Control,1465,0.010913533526523984
Perycites,LD,2,0.00017834849295523454
Perycites,NMDA,7,0.00045383817427385894
RGC,Control,4299,0.0320254475293697
RGC,LD,157,0.01400035669698591
RGC,NMDA,456,0.029564315352697094
RPE,Control,1799,0.013401670180352659
RPE,LD,3,0.00026752273943285177
Rod,Control,6384,0.047557677838449906
Rod,LD,886,0.07900838237916889
Rod,NMDA,2120,0.137448132780083
