cell_type,Control,LD,NMDA
AC,0.10243822493053331,0.030497592295345103,0.09232365145228216
BC,0.46846249543717455,0.04859996433030141,0.054979253112033194
Cones,0.07544119728539822,0.03317281968967362,0.027489626556016597
Endothelial,0.005654178803161572,0.0,0.00019450207468879667
HC,0.13400925229258698,0.06170857856251115,0.06937240663900415
MG,0.06486289175115653,0.4311574817192795,0.2989496887966805
MGPC,0.011286009073504324,0.15543071161048688,0.14736773858921162
Melanocyte,0.0026818239382584534,0.0,0.00019450207468879667
Microglia_ImmuneCells,0.017394608043981914,0.0014267879436418763,0.002204356846473029
Oligodenrocyte,0.005117814015509882,0.00017834849295523454,0.0007131742738589211
PR precursors,0.008753175354038007,0.14437310504726236,0.1387448132780083
Perycites,0.010913533526523984,0.00017834849295523454,0.00045383817427385894
RGC,0.0320254475293697,0.01400035669698591,0.029564315352697094
RPE,0.013401670180352659,0.00026752273943285177,0.0
Rod,0.047557677838449906,0.07900838237916889,0.137448132780083
