column,dtype,n_unique,n_missing,top_values
sample,category,8,0,Zebra: 26638; TH44: 24387; TH57: 24297; TH54: 19750; TH55: 18787; TH71: 18015; TH56: 17260; TH115: 11741
n_genes_by_counts,int32,4845,0,1083: 164; 934: 153; 1023: 150; 878: 150; 1051: 149; 1013: 148; 992: 147; 904: 145; 1080: 144; 928: 143; 882: 142; 1150: 141
log1p_n_genes_by_counts,float64,4845,0,6.988413181999592: 164; 6.840546529288687: 153; 6.931471805599453: 150; 6.778784897685177: 150; 6.9584483932976555: 149; 6.921658184151129: 148; 6.900730664045173: 147; 6.807934943699926: 145; 6.985641817639208: 144; 6.834108738813838: 143; 6.78332520060396: 142; 7.048386408721883: 141
total_counts,float32,15936,0,1708.0: 78; 1607.0: 74; 1710.0: 74; 1727.0: 73; 1511.0: 73; 1761.0: 72; 1765.0: 72; 1749.0: 71; 1547.0: 71; 1739.0: 71; 1879.0: 71; 1549.0: 70
log1p_total_counts,float32,15936,0,7.4436636: 78; 7.3827467: 74; 7.4448333: 74; 7.45472: 73; 7.3211884: 73; 7.474205: 72; 7.4764724: 72; 7.467371: 71; 7.344719: 71; 7.4616404: 71; 7.539027: 71; 7.34601: 70
pct_counts_in_top_50_genes,float64,139550,0,25.0: 94; 22.22222222222222: 78; 20.0: 76; 23.076923076923077: 48; 21.428571428571427: 43; 22.727272727272727: 41; 23.52941176470588: 38; 23.333333333333332: 32; 21.73913043478261: 30; 24.0: 29; 21.052631578947366: 26; 23.809523809523807: 24
pct_counts_in_top_100_genes,float64,141207,0,33.33333333333333: 188; 30.76923076923077: 40; 31.57894736842105: 39; 30.0: 37; 31.25: 36; 28.57142857142857: 34; 31.818181818181817: 33; 25.0: 29; 35.714285714285715: 26; 36.36363636363637: 26; 37.5: 26; 29.411764705882355: 26
pct_counts_in_top_200_genes,float64,142702,0,50.0: 103; 42.857142857142854: 68; 45.45454545454545: 49; 44.44444444444444: 48; 40.0: 44; 46.15384615384615: 41; 46.666666666666664: 34; 41.66666666666667: 31; 45.0: 29; 43.75: 27; 43.333333333333336: 26; 47.368421052631575: 25
pct_counts_in_top_500_genes,float64,142977,0,66.66666666666666: 141; 75.0: 43; 60.0: 33; 65.0: 29; 70.0: 29; 68.42105263157895: 28; 64.70588235294117: 28; 64.28571428571429: 26; 63.1578947368421: 26; 71.42857142857143: 26; 63.63636363636363: 25; 62.5: 24
total_counts_mt,float32,1813,0,93.0: 916; 87.0: 906; 98.0: 900; 81.0: 898; 82.0: 892; 104.0: 882; 84.0: 879; 80.0: 878; 102.0: 877; 96.0: 876; 99.0: 875; 91.0: 874
log1p_total_counts_mt,float32,1813,0,4.543295: 916; 4.477337: 906; 4.59512: 900; 4.406719: 898; 4.4188404: 892; 4.65396: 882; 4.4426513: 879; 4.394449: 878; 4.634729: 877; 4.574711: 876; 4.6051702: 875; 4.5217886: 874
pct_counts_mt,float32,134147,0,0.0: 364; 5.555556: 48; 6.25: 46; 5.882353: 45; 4.166667: 43; 5.0: 43; 6.666667: 42; 4.7619047: 41; 7.1428576: 40; 4.347826: 40; 4.5454545: 38; 7.692308: 37
n_genes,int64,4845,0,1083: 164; 934: 153; 1023: 150; 878: 150; 1051: 149; 1013: 148; 992: 147; 904: 145; 1080: 144; 928: 143; 882: 142; 1150: 141
renamed_samples,category,3,0,Control: 134237; NMDA: 15424; LD: 11214
predicted_doublets,bool,1,0,False: 160875
leiden,category,92,0,0: 6775; 1: 5226; 2: 5043; 3: 4934; 4: 4914; 5: 4912; 6: 4594; 7: 4329; 8: 4272; 9: 4047; 10: 4036; 11: 3803
celltype,category,15,0,BC: 64278; HC: 19751; MG: 18153; AC: 15517; Cones: 10923; Rod: 9390; MGPC: 5531; PR precursors: 4934; RGC: 4912; Microglia_ImmuneCells: 2385; RPE: 1802; Perycites: 1474
