cell_type,condition,metric,gene_set,n_cells,mean_fidelity,median_fidelity,std_fidelity
AC,Control_heldout,cosine,hvg_1000,4126,0.47162346347644063,0.4708070446462397,0.08172671756351116
AC,Control_heldout,pearson,hvg_1000,4126,0.41444799410613165,0.4157263291417449,0.08728038648198674
AC,Control_heldout,spearman,hvg_1000,4126,0.304581649116835,0.2972223378452778,0.059495650181074694
AC,LD,cosine,hvg_1000,342,0.40509911771016266,0.40319243985553543,0.05727828216864111
AC,LD,pearson,hvg_1000,342,0.34848868661888094,0.34872294809109966,0.06215630126639513
AC,LD,spearman,hvg_1000,342,0.2585791003296206,0.2543985496613823,0.04460188274198902
AC,NMDA,cosine,hvg_1000,1424,0.37625846926042184,0.37948648820382797,0.07485978864700582
AC,NMDA,pearson,hvg_1000,1424,0.32066271670931434,0.323589395981177,0.07693679149652834
AC,NMDA,spearman,hvg_1000,1424,0.23871183097086465,0.24024884219642545,0.050411385816837816
BC,Control_heldout,cosine,hvg_1000,18866,0.488611970736063,0.48593602711806183,0.06571063150122253
BC,Control_heldout,pearson,hvg_1000,18866,0.44087922225211684,0.43940165174357565,0.07200347168683134
BC,Control_heldout,spearman,hvg_1000,18866,0.2876035138254833,0.2818633714259604,0.044475077042025114
BC,LD,cosine,hvg_1000,545,0.4423431069305593,0.4488610278673341,0.05411711462194244
BC,LD,pearson,hvg_1000,545,0.3930638898080103,0.39956612894949156,0.06387970268961714
BC,LD,spearman,hvg_1000,545,0.2606261006879673,0.2621345782428724,0.027538743647005797
BC,NMDA,cosine,hvg_1000,848,0.3885977363144943,0.3974393254542652,0.06962465801941768
BC,NMDA,pearson,hvg_1000,848,0.33067993953594527,0.33904220809756735,0.07719783468570851
BC,NMDA,spearman,hvg_1000,848,0.24363477164094233,0.24794199954939813,0.0415380844947493
Cones,Control_heldout,cosine,hvg_1000,3039,0.5470240669888897,0.5412697031068104,0.07974101622015149
Cones,Control_heldout,pearson,hvg_1000,3039,0.4998027023383239,0.4970143314301604,0.07741370341007546
Cones,Control_heldout,spearman,hvg_1000,3039,0.3520332314265025,0.3263011825395494,0.09690362859030639
Cones,LD,cosine,hvg_1000,372,0.37921950384017034,0.3743064774565284,0.0562484276102247
Cones,LD,pearson,hvg_1000,372,0.341811232431032,0.33570653539225165,0.058244818769084335
Cones,LD,spearman,hvg_1000,372,0.23276695943698206,0.22764996329791787,0.038002906035382734
Cones,NMDA,cosine,hvg_1000,424,0.3733650155259541,0.3722653795737934,0.06889497332514108
Cones,NMDA,pearson,hvg_1000,424,0.3312716567107175,0.3309322531978742,0.07096690999198524
Cones,NMDA,spearman,hvg_1000,424,0.23490353465804134,0.2285441631107928,0.04799534423987519
HC,Control_heldout,cosine,hvg_1000,5397,0.5968574437814481,0.6000247728164317,0.05457281138067171
HC,Control_heldout,pearson,hvg_1000,5397,0.5566879199289035,0.5629484958007932,0.061647892045745896
HC,Control_heldout,spearman,hvg_1000,5397,0.34898709016253293,0.32889087647448845,0.0741287213414147
HC,LD,cosine,hvg_1000,692,0.4470474376077981,0.4512699669003619,0.03882011260516168
HC,LD,pearson,hvg_1000,692,0.4099324111689067,0.4142485186660855,0.04364152077805378
HC,LD,spearman,hvg_1000,692,0.27075229003388884,0.27042944452135764,0.035266465807981054
HC,NMDA,cosine,hvg_1000,1070,0.42375959454343415,0.4287127299782385,0.044969726605907034
HC,NMDA,pearson,hvg_1000,1070,0.3802469920056004,0.3881130052259847,0.054976336336915003
HC,NMDA,spearman,hvg_1000,1070,0.26061999553678644,0.25534707227965503,0.03696597665149486
MG,Control_heldout,cosine,hvg_1000,2613,0.5643262989887928,0.5785275188225153,0.08425565997797618
MG,Control_heldout,pearson,hvg_1000,2613,0.5200425092969814,0.5377879115059,0.0978317621692333
MG,Control_heldout,spearman,hvg_1000,2613,0.3411146814455687,0.332860291715278,0.06481016901316741
MG,LD,cosine,hvg_1000,4835,0.5184876110019144,0.5372129679815105,0.08289967049300699
MG,LD,pearson,hvg_1000,4835,0.4856770315439702,0.5026950232743846,0.08373686816478755
MG,LD,spearman,hvg_1000,4835,0.29264599591979606,0.3030508071779845,0.05609006033133718
MG,NMDA,cosine,hvg_1000,4611,0.500121678113916,0.5156747218816031,0.07339734732688818
MG,NMDA,pearson,hvg_1000,4611,0.4633634465058036,0.4782685738369976,0.07598083606162094
MG,NMDA,spearman,hvg_1000,4611,0.2855773861873322,0.2927094448429214,0.04904193944500763
MGPC,Control_heldout,cosine,hvg_1000,455,0.5557355671044946,0.5530565572235187,0.06813793538526351
