metric,,cosine,cosine,cosine,cosine,pearson,pearson,pearson,pearson,spearman,spearman,spearman,spearman
gene_set,,hvg_1000,hvg_2000,hvg_500,shared_expressed,hvg_1000,hvg_2000,hvg_500,shared_expressed,hvg_1000,hvg_2000,hvg_500,shared_expressed
cell_type,comparison,,,,,,,,,,,,
AC,Control_vs_LD,0.7740052342414856,0.780315101146698,0.7785392999649048,0.9241812229156494,0.6807071869321407,0.7164823462601225,0.6682639826549501,0.9050188795354005,0.7678810369298187,0.824305136517117,0.711681743780946,0.9147345989766366
AC,Control_vs_NMDA,0.7879610061645508,0.795209527015686,0.7677391171455383,0.9234115481376648,0.6976800040022996,0.7333270651832539,0.6402737736283256,0.9050001020454196,0.7694451524830187,0.8305912495674276,0.7106645600245853,0.9243866186534332
AC,LD_vs_NMDA,0.9146575927734375,0.9466341137886047,0.8888025283813477,0.9772728085517883,0.8798957832382218,0.9316669143256227,0.8385220549068136,0.971927107495514,0.908917402750619,0.9304667615678192,0.8789421507672274,0.9622740545918247
BC,Control_vs_LD,0.7661586403846741,0.7778698205947876,0.8149306774139404,0.8947516679763794,0.7160511605039009,0.7415861586648961,0.7664125965596342,0.8780593942444315,0.7944591638823545,0.8264744122377159,0.7162553660717251,0.8997797337190073
BC,Control_vs_NMDA,0.778012216091156,0.7962222099304199,0.8018588423728943,0.9116674661636353,0.7183039231162375,0.7557004486074494,0.7290657376010109,0.8970840213698087,0.8075465048063453,0.8422452705504312,0.7407221373558371,0.9110500445301324
BC,LD_vs_NMDA,0.9523617029190063,0.9582820534706116,0.9384297132492065,0.9712790846824646,0.9441751308367318,0.9528541231277771,0.9248454335894352,0.9666915389992189,0.9466199317599823,0.9453119340694146,0.9424184018780841,0.9444114402234015
Cones,Control_vs_LD,0.49646201729774475,0.5771092772483826,0.4750151038169861,0.820482611656189,0.4502052584851653,0.541230543545368,0.42550976616872227,0.7983255637011177,0.7790520578507054,0.7684222012639511,0.7587314041516322,0.8661387652792472
Cones,Control_vs_NMDA,0.5601108074188232,0.6306701302528381,0.5462760329246521,0.857517659664154,0.509752812938276,0.5940682572080135,0.4870356593795181,0.8402205654911592,0.8099469120312082,0.8117424902394585,0.8001468061743506,0.8923037003375349
Cones,LD_vs_NMDA,0.9742675423622131,0.972849428653717,0.9655590057373047,0.9821450710296631,0.9731844562058608,0.9713049539013484,0.9644194626154181,0.9801730589050193,0.896947727798896,0.8848294301091613,0.9022890874730576,0.9190550756568134
HC,Control_vs_LD,0.5489984750747681,0.6167835593223572,0.4473661780357361,0.8978171944618225,0.49098921865310374,0.5716304280556985,0.38379508769764387,0.8801784325533201,0.7712776028904569,0.8058595785465226,0.7073370640964823,0.8960995201678426
HC,Control_vs_NMDA,0.5453817844390869,0.6147079467773438,0.474740207195282,0.9015945196151733,0.4741753944113014,0.5620778448377245,0.3868908513089611,0.8851928241928289,0.7445990034626742,0.800101664457425,0.6359243304369196,0.9016393939339359
HC,LD_vs_NMDA,0.9581032395362854,0.9635756611824036,0.9510546326637268,0.9818001985549927,0.9545440853169319,0.9604128684444491,0.9488858620742907,0.9788435388171207,0.9235188845794776,0.9236055278207282,0.9024058571351907,0.9541448205197632
MG,Control_vs_LD,0.49485552310943604,0.5963353514671326,0.48733973503112793,0.9015917778015137,0.4216199566967244,0.5500276913269997,0.40389660566606317,0.8848631453718937,0.7360575886911134,0.7927720607675197,0.6480222533027992,0.9042803522331654
MG,Control_vs_NMDA,0.51326584815979,0.6163219809532166,0.49653589725494385,0.9110029339790344,0.43472523120063605,0.5652145716868384,0.40629124411670575,0.8968137950876214,0.7372128186157799,0.7909047812889953,0.6526272286026409,0.9103117728902111
MG,LD_vs_NMDA,0.9102731347084045,0.9481852650642395,0.8672484159469604,0.9825456738471985,0.9013209382380633,0.9438101435064159,0.8524286767088572,0.9798489137652889,0.9527370919396059,0.9584247978289465,0.9491658730913559,0.9796583826364665
MGPC,Control_vs_LD,0.6612051725387573,0.6730120778083801,0.6890469193458557,0.8877274990081787,0.6431958602906043,0.6540569168831182,0.6677519143114853,0.8687094527170963,0.7310559576951398,0.8085311722838106,0.669952242832197,0.8677024473482685
MGPC,Control_vs_NMDA,0.7467051148414612,0.757092297077179,0.7570070028305054,0.9049066305160522,0.7158115007011716,0.7294938762551489,0.7214724945566459,0.8904012562680664,0.767849945776378,0.8339051239809002,0.709064170760816,0.8926473861637678
MGPC,LD_vs_NMDA,0.973645031452179,0.9751147031784058,0.9744399785995483,0.9894601106643677,0.974618494318567,0.9755797339400049,0.9752378489105507,0.9879433290482809,0.932505739827482,0.9470861273623963,0.9152121790846808,0.9742165284516153
