cell_type,comparison,condition_a,condition_b,metric,gene_set,n_genes,similarity,n_cells_a,n_cells_b,low_cell_count_warning,expression_source
AC,Control_vs_LD,Control,LD,pearson,shared_expressed,24184,0.9050188795354005,13751,342,False,raw.X
AC,Control_vs_LD,Control,LD,spearman,shared_expressed,24184,0.9147345989766366,13751,342,False,raw.X
AC,Control_vs_LD,Control,LD,cosine,shared_expressed,24184,0.9241812229156494,13751,342,False,raw.X
AC,Control_vs_NMDA,Control,NMDA,pearson,shared_expressed,24184,0.9050001020454196,13751,1424,False,raw.X
AC,Control_vs_NMDA,Control,NMDA,spearman,shared_expressed,24184,0.9243866186534332,13751,1424,False,raw.X
AC,Control_vs_NMDA,Control,NMDA,cosine,shared_expressed,24184,0.9234115481376648,13751,1424,False,raw.X
AC,LD_vs_NMDA,LD,NMDA,pearson,shared_expressed,24184,0.971927107495514,342,1424,False,raw.X
AC,LD_vs_NMDA,LD,NMDA,spearman,shared_expressed,24184,0.9622740545918247,342,1424,False,raw.X
AC,LD_vs_NMDA,LD,NMDA,cosine,shared_expressed,24184,0.9772728085517883,342,1424,False,raw.X
AC,Control_vs_LD,Control,LD,pearson,hvg_500,500,0.6682639826549501,13751,342,False,raw.X
AC,Control_vs_LD,Control,LD,spearman,hvg_500,500,0.711681743780946,13751,342,False,raw.X
AC,Control_vs_LD,Control,LD,cosine,hvg_500,500,0.7785392999649048,13751,342,False,raw.X
AC,Control_vs_NMDA,Control,NMDA,pearson,hvg_500,500,0.6402737736283256,13751,1424,False,raw.X
AC,Control_vs_NMDA,Control,NMDA,spearman,hvg_500,500,0.7106645600245853,13751,1424,False,raw.X
AC,Control_vs_NMDA,Control,NMDA,cosine,hvg_500,500,0.7677391171455383,13751,1424,False,raw.X
AC,LD_vs_NMDA,LD,NMDA,pearson,hvg_500,500,0.8385220549068136,342,1424,False,raw.X
AC,LD_vs_NMDA,LD,NMDA,spearman,hvg_500,500,0.8789421507672274,342,1424,False,raw.X
AC,LD_vs_NMDA,LD,NMDA,cosine,hvg_500,500,0.8888025283813477,342,1424,False,raw.X
AC,Control_vs_LD,Control,LD,pearson,hvg_1000,1000,0.6807071869321407,13751,342,False,raw.X
AC,Control_vs_LD,Control,LD,spearman,hvg_1000,1000,0.7678810369298187,13751,342,False,raw.X
AC,Control_vs_LD,Control,LD,cosine,hvg_1000,1000,0.7740052342414856,13751,342,False,raw.X
AC,Control_vs_NMDA,Control,NMDA,pearson,hvg_1000,1000,0.6976800040022996,13751,1424,False,raw.X
AC,Control_vs_NMDA,Control,NMDA,spearman,hvg_1000,1000,0.7694451524830187,13751,1424,False,raw.X
AC,Control_vs_NMDA,Control,NMDA,cosine,hvg_1000,1000,0.7879610061645508,13751,1424,False,raw.X
AC,LD_vs_NMDA,LD,NMDA,pearson,hvg_1000,1000,0.8798957832382218,342,1424,False,raw.X
AC,LD_vs_NMDA,LD,NMDA,spearman,hvg_1000,1000,0.908917402750619,342,1424,False,raw.X
AC,LD_vs_NMDA,LD,NMDA,cosine,hvg_1000,1000,0.9146575927734375,342,1424,False,raw.X
AC,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.7164823462601225,13751,342,False,raw.X
AC,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.824305136517117,13751,342,False,raw.X
AC,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.780315101146698,13751,342,False,raw.X
AC,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.7333270651832539,13751,1424,False,raw.X
AC,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.8305912495674276,13751,1424,False,raw.X
AC,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.795209527015686,13751,1424,False,raw.X
AC,LD_vs_NMDA,LD,NMDA,pearson,hvg_2000,2000,0.9316669143256227,342,1424,False,raw.X
AC,LD_vs_NMDA,LD,NMDA,spearman,hvg_2000,2000,0.9304667615678192,342,1424,False,raw.X
AC,LD_vs_NMDA,LD,NMDA,cosine,hvg_2000,2000,0.9466341137886047,342,1424,False,raw.X
BC,Control_vs_LD,Control,LD,pearson,shared_expressed,24247,0.8780593942444315,62885,545,False,raw.X
BC,Control_vs_LD,Control,LD,spearman,shared_expressed,24247,0.8997797337190073,62885,545,False,raw.X
BC,Control_vs_LD,Control,LD,cosine,shared_expressed,24247,0.8947516679763794,62885,545,False,raw.X
BC,Control_vs_NMDA,Control,NMDA,pearson,shared_expressed,24247,0.8970840213698087,62885,848,False,raw.X
BC,Control_vs_NMDA,Control,NMDA,spearman,shared_expressed,24247,0.9110500445301324,62885,848,False,raw.X
BC,Control_vs_NMDA,Control,NMDA,cosine,shared_expressed,24247,0.9116674661636353,62885,848,False,raw.X
BC,LD_vs_NMDA,LD,NMDA,pearson,shared_expressed,24247,0.9666915389992189,545,848,False,raw.X
BC,LD_vs_NMDA,LD,NMDA,spearman,shared_expressed,24247,0.9444114402234015,545,848,False,raw.X
BC,LD_vs_NMDA,LD,NMDA,cosine,shared_expressed,24247,0.9712790846824646,545,848,False,raw.X
BC,Control_vs_LD,Control,LD,pearson,hvg_500,500,0.7664125965596342,62885,545,False,raw.X
BC,Control_vs_LD,Control,LD,spearman,hvg_500,500,0.7162553660717251,62885,545,False,raw.X
BC,Control_vs_LD,Control,LD,cosine,hvg_500,500,0.8149306774139404,62885,545,False,raw.X
BC,Control_vs_NMDA,Control,NMDA,pearson,hvg_500,500,0.7290657376010109,62885,848,False,raw.X
BC,Control_vs_NMDA,Control,NMDA,spearman,hvg_500,500,0.7407221373558371,62885,848,False,raw.X
BC,Control_vs_NMDA,Control,NMDA,cosine,hvg_500,500,0.8018588423728943,62885,848,False,raw.X
BC,LD_vs_NMDA,LD,NMDA,pearson,hvg_500,500,0.9248454335894352,545,848,False,raw.X
BC,LD_vs_NMDA,LD,NMDA,spearman,hvg_500,500,0.9424184018780841,545,848,False,raw.X
BC,LD_vs_NMDA,LD,NMDA,cosine,hvg_500,500,0.9384297132492065,545,848,False,raw.X
BC,Control_vs_LD,Control,LD,pearson,hvg_1000,1000,0.7160511605039009,62885,545,False,raw.X
BC,Control_vs_LD,Control,LD,spearman,hvg_1000,1000,0.7944591638823545,62885,545,False,raw.X
BC,Control_vs_LD,Control,LD,cosine,hvg_1000,1000,0.7661586403846741,62885,545,False,raw.X
BC,Control_vs_NMDA,Control,NMDA,pearson,hvg_1000,1000,0.7183039231162375,62885,848,False,raw.X
BC,Control_vs_NMDA,Control,NMDA,spearman,hvg_1000,1000,0.8075465048063453,62885,848,False,raw.X
BC,Control_vs_NMDA,Control,NMDA,cosine,hvg_1000,1000,0.778012216091156,62885,848,False,raw.X
BC,LD_vs_NMDA,LD,NMDA,pearson,hvg_1000,1000,0.9441751308367318,545,848,False,raw.X
BC,LD_vs_NMDA,LD,NMDA,spearman,hvg_1000,1000,0.9466199317599823,545,848,False,raw.X
BC,LD_vs_NMDA,LD,NMDA,cosine,hvg_1000,1000,0.9523617029190063,545,848,False,raw.X
BC,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.7415861586648961,62885,545,False,raw.X
BC,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.8264744122377159,62885,545,False,raw.X
BC,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.7778698205947876,62885,545,False,raw.X
BC,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.7557004486074494,62885,848,False,raw.X
BC,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.8422452705504312,62885,848,False,raw.X
BC,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.7962222099304199,62885,848,False,raw.X
BC,LD_vs_NMDA,LD,NMDA,pearson,hvg_2000,2000,0.9528541231277771,545,848,False,raw.X
