cell_type,condition,n_cells,fraction
AC,Control,13751,0.10841901097514822
AC,LD,342,0.030560271646859084
AC,NMDA,1424,0.09267213328127033
BC,Control,62885,0.49581335940456667
BC,LD,545,0.04869984809221696
BC,NMDA,848,0.05518677599895874
Cones,Control,10127,0.0798457802447332
Cones,LD,372,0.0332409972299169
Cones,NMDA,424,0.02759338799947937
HC,Control,17989,0.141833291282957
HC,LD,692,0.06183540344920025
HC,NMDA,1070,0.06963425745151633
MG,Control,8707,0.0686498675413145
MG,LD,4835,0.4320436064694844
MG,NMDA,4611,0.30007809449433814
MGPC,Control,1515,0.011944935032168537
MGPC,LD,1743,0.155750156375659
MGPC,NMDA,2273,0.14792398802551088
PR precursors,Control,1175,0.009264223539800682
PR precursors,LD,1619,0.1446698239656867
PR precursors,NMDA,2140,0.13926851490303266
RGC,Control,4299,0.03389523148732181
RGC,LD,157,0.014029130551335894
RGC,NMDA,456,0.02967590784849668
Rod,Control,6384,0.050334300491989406
Rod,LD,886,0.07917076221964078
Rod,NMDA,2120,0.13796693999739684
