cell_type,comparison,condition_a,condition_b,metric,gene_set,n_genes,similarity
AC,Control_vs_LD,Control,LD,pearson,shared_expressed,24579,0.9054031041171737
AC,Control_vs_LD,Control,LD,spearman,shared_expressed,24579,0.916177295475629
AC,Control_vs_LD,Control,LD,cosine,shared_expressed,24579,0.9241812825202942
AC,Control_vs_NMDA,Control,NMDA,pearson,shared_expressed,24579,0.9053657571383288
AC,Control_vs_NMDA,Control,NMDA,spearman,shared_expressed,24579,0.9266075846511764
AC,Control_vs_NMDA,Control,NMDA,cosine,shared_expressed,24579,0.9234115481376648
BC,Control_vs_LD,Control,LD,pearson,shared_expressed,24579,0.8783200660402107
BC,Control_vs_LD,Control,LD,spearman,shared_expressed,24579,0.9004294922659365
BC,Control_vs_LD,Control,LD,cosine,shared_expressed,24579,0.8947516083717346
BC,Control_vs_NMDA,Control,NMDA,pearson,shared_expressed,24579,0.8973130414924212
BC,Control_vs_NMDA,Control,NMDA,spearman,shared_expressed,24579,0.9120947359775364
BC,Control_vs_NMDA,Control,NMDA,cosine,shared_expressed,24579,0.91166752576828
Cones,Control_vs_LD,Control,LD,pearson,shared_expressed,24579,0.7990964547396053
Cones,Control_vs_LD,Control,LD,spearman,shared_expressed,24579,0.8697482067300861
Cones,Control_vs_LD,Control,LD,cosine,shared_expressed,24579,0.820482611656189
Cones,Control_vs_NMDA,Control,NMDA,pearson,shared_expressed,24579,0.8408208151958436
Cones,Control_vs_NMDA,Control,NMDA,spearman,shared_expressed,24579,0.8947295775790018
Cones,Control_vs_NMDA,Control,NMDA,cosine,shared_expressed,24579,0.857517659664154
HC,Control_vs_LD,Control,LD,pearson,shared_expressed,24579,0.8806987498523053
HC,Control_vs_LD,Control,LD,spearman,shared_expressed,24579,0.8989149526802342
HC,Control_vs_LD,Control,LD,cosine,shared_expressed,24579,0.897817075252533
HC,Control_vs_NMDA,Control,NMDA,pearson,shared_expressed,24579,0.8856743218070605
HC,Control_vs_NMDA,Control,NMDA,spearman,shared_expressed,24579,0.9048181139879323
HC,Control_vs_NMDA,Control,NMDA,cosine,shared_expressed,24579,0.9015945196151733
MG,Control_vs_LD,Control,LD,pearson,shared_expressed,24579,0.8853826272074989
MG,Control_vs_LD,Control,LD,spearman,shared_expressed,24579,0.9100495655184244
MG,Control_vs_LD,Control,LD,cosine,shared_expressed,24579,0.9015916585922241
MG,Control_vs_NMDA,Control,NMDA,pearson,shared_expressed,24579,0.897250218797728
MG,Control_vs_NMDA,Control,NMDA,spearman,shared_expressed,24579,0.9155839220310676
MG,Control_vs_NMDA,Control,NMDA,cosine,shared_expressed,24579,0.9110029339790344
MGPC,Control_vs_LD,Control,LD,pearson,shared_expressed,24579,0.870081229498804
MGPC,Control_vs_LD,Control,LD,spearman,shared_expressed,24579,0.884585764351619
MGPC,Control_vs_LD,Control,LD,cosine,shared_expressed,24579,0.8877275586128235
MGPC,Control_vs_NMDA,Control,NMDA,pearson,shared_expressed,24579,0.8914321646921006
MGPC,Control_vs_NMDA,Control,NMDA,spearman,shared_expressed,24579,0.906010114018715
MGPC,Control_vs_NMDA,Control,NMDA,cosine,shared_expressed,24579,0.904906690120697
PR precursors,Control_vs_LD,Control,LD,pearson,shared_expressed,24579,0.890859617548169
PR precursors,Control_vs_LD,Control,LD,spearman,shared_expressed,24579,0.8844980286269445
PR precursors,Control_vs_LD,Control,LD,cosine,shared_expressed,24579,0.9035215377807617
PR precursors,Control_vs_NMDA,Control,NMDA,pearson,shared_expressed,24579,0.9014874558459809
